parent_speech,counter_speech,response,original_cn_id,original_hateSpeech,original_counterSpeech,original_hsType,original_hsSubType,original_cnType,original_age,original_gender,original_educationLevel
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on their religion.--Counter hate speech, because it challenges the hate narrative by acknowledging a past wrongdoing in a different context (Catholic Church) and emphasizes that individual actions should not be generalized to an entire group.",ENT1ST0001HS0046CN000017P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslim) and accuses a specific group (police and politicians) of betrayal.--Counter hate speech, because it challenges the previous hate speech by pointing out the bias and ineffectiveness in addressing non-Muslim sex offenders, highlighting the need for fair treatment and protection for all victims regardless of their perpetrators' backgrounds.",ENT1ST0001HS0046CN000018,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
hate speech,counter hate speech,"Hate speech, because it targets a specific group (Muslims) and implies they are involved in criminal activities (grooming gangs) without any evidence, inciting hate and promoting harmful stereotypes.--Counter hate speech, because it challenges the hate speech directed towards Muslims by highlighting the issue of how non-Muslim sex offenders are treated by the police, thus questioning the bias and discrimination implied in the initial statement.",ENT1ST0001HS0046CN000018P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) by labeling them as traitors.--Counter hate speech, because it challenges the hate speech directed towards Muslims by highlighting the issue of bias and ineffectiveness in the police's handling of cases involving non-Muslim sex offenders.",ENT1ST0001HS0046CN000018P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on their religion.--Counter hate speech, because it challenges the hate narrative by pointing out that the existence of such gangs is not due to a lack of protection from institutions like the BBC or the Church.",ENT1ST0001HS0046CN000019,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it targets a specific group (Muslims) and implies they are involved in criminal behavior (grooming gangs) while also accusing the government and police of protecting them, inciting hate and promoting negative stereotypes.--Counter hate speech, because it challenges the previous hate speech by suggesting that the existence of such gangs is not due to a lack of protection from institutions like the BBC or the Church, thereby questioning the initial hateful narrative.",ENT1ST0001HS0046CN000019P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group based on religion.--Counter hate speech, because it challenges the hate narrative by suggesting that the existence of gangs is not due to a specific group's protection but rather a lack of institutional support.",ENT1ST0001HS0046CN000019P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) by labeling them as criminals and traitors.--Counter hate speech, because it challenges the hate narrative of the previous speech by calling out the spread of misinformation and does not promote hate or violence towards any specific group.",ENT1ST0001HS0046CN000020,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it targets a specific group (Muslims) and implies they are involved in criminal behavior (grooming gangs) while also accusing the government and police of protecting them, inciting hate and promoting negative stereotypes.--Counter hate speech, because it challenges the hate speech by calling out the spread of misinformation and labeling conspiracy theorists as the real traitors, without targeting any specific group based on race, religion, or other protected characteristics.",ENT1ST0001HS0046CN000020P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group based on religion.--Counter hate speech, because it challenges the hate narrative by addressing the spread of misinformation rather than promoting hate or inciting violence against a specific group.",ENT1ST0001HS0046CN000020P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
hate speech,counter hate speech,"hate speech, because it promotes hate and incites violence based on religion by associating the act of murder with a specific religious phrase.--counter hate speech, because it challenges the hate narrative presented in the previous speech by highlighting the bias in media coverage and advocating for a more balanced representation of Muslims.",ENT1ST0001HS0054CN000058,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"hate speech, because it promotes hate based on religion by associating a violent act with a specific religious group.--counter hate speech, because it challenges the narrative of the previous hate speech by highlighting the perception of bias in media coverage and advocating for a more balanced representation of Muslims.",ENT1ST0001HS0054CN000058P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate towards Muslims by implying that the BBC is intentionally not covering negative news related to Muslims.--Counter hate speech, because it challenges the hate narrative presented in the previous speech by highlighting the perception that positive stories about Muslims are often overlooked in the media.",ENT1ST0001HS0054CN000058P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion by associating the act of murder with a specific religious phrase.--Counter hate speech, because it challenges the hate narrative by asking for clarification and a reliable source, rather than responding with more hate speech.",ENT1ST0001HS0054CN000059,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"hate speech, because it promotes hate based on religion by associating a violent act with a specific religious group.--counter hate speech, because it challenges the previous hate speech by asking for a source and seeking clarification rather than promoting or inciting hate.",ENT1ST0001HS0054CN000059P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"Hate speech, because it is targeting Muslims based on their religion and implying that the BBC is intentionally not reporting on a specific incident to portray a negative image of Muslims.--Counter hate speech, because it is questioning the validity of the previous hate speech and asking for a source, which challenges the hate narrative presented in the initial speech.",ENT1ST0001HS0054CN000059P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"hate speech, because it promotes hate and incites violence based on religion by using derogatory language and stereotypes.--counter hate speech, because it challenges the hate narrative presented in the previous speech by pointing out the neglect in reporting on crimes from different extremist groups and asking for clarification.",ENT1ST0001HS0054CN000060,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion by associating the act of murder with a specific religious group.--Counter hate speech, because it challenges the hate narrative presented in the previous speech by pointing out the neglect in reporting on crimes committed by far-right extremists and addressing the need for clarification.",ENT1ST0001HS0054CN000060P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and negative stereotypes towards Muslims by implying that the BBC is intentionally not covering news related to Muslims.--Counter hate speech, because it challenges the hate narrative presented in the previous speech by pointing out the neglect in reporting on far-right extremist and Islamophobic crimes, thus promoting empathy and asking for clarification.",ENT1ST0001HS0054CN000060P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion by associating the act of murder with a specific religious phrase.--Counter hate speech, because it challenges the hate narrative presented in the previous speech by pointing out bias against Muslims in the media and advocating for a more balanced representation of positive stories.",ENT1ST0001HS0054CN000061,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"hate speech, because it promotes hate based on religion by associating the actions of an individual with an entire religious group.--counter hate speech, because it challenges the negative narrative about Muslims presented in the previous speech and calls out media bias while highlighting the need for more positive representation.",ENT1ST0001HS0054CN000061P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites negative feelings towards Muslims by implying that the BBC is intentionally ignoring or downplaying acts of violence associated with Islam.--Counter hate speech, because it challenges the negative narrative about Muslims presented in the previous speech and calls out media bias while advocating for a more balanced representation of Muslims in the media.",ENT1ST0001HS0054CN000061P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) which is a form of discrimination and intolerance.--Counter hate speech, because it challenges the hate speech by questioning the idea of deporting individuals without due process, advocating for fairness and justice instead of promoting discrimination and violence.",ENT1ST0001HS0074CN000062,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes harm and incites violence based on religion (Muslims).--Counter hate speech, because it challenges the previous hate speech by questioning the idea of punishing individuals without due process, showing empathy and advocating for fair treatment.",ENT1ST0001HS0074CN000062P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it incites violence and promotes harm based on religion (Muslims).--Counter hate speech, because it challenges the narrative of targeting a specific group (Muslims) and questions the call for punishment without due process, advocating for fair treatment regardless of religion.",ENT1ST0001HS0074CN000062P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) by referring to them as criminals and suggesting they should be deported or taken care of by common people.--Counter hate speech, because it challenges the hate speech by advocating for leaving decisions about deportation to the government rather than promoting violence or discrimination against a specific group (Muslims).",ENT1ST0001HS0074CN000063,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
hate speech,neutral speech,"Hate speech, because it promotes harm and incites violence based on religion (Muslims).--Neutral speech, because it does not promote hate, violence, or harm based on any specific characteristic.",ENT1ST0001HS0074CN000063P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
hate speech,neutral speech,"Hate speech, because it incites violence and promotes hate towards Muslims based on their religion.--Neutral speech, because it does not promote hate or incite violence based on any specific characteristic like race, religion, or ethnicity.",ENT1ST0001HS0074CN000063P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) by referring to them as criminals and suggesting they should be deported or taken care of by common people.--Counter hate speech, because it challenges the hate speech by questioning the assumption that individuals of a certain religion are automatically guilty and advocates for fair treatment regardless of religion.",ENT1ST0001HS0074CN000064,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26,female,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes harm and incites violence based on religion (Muslims).--Counter hate speech, because it challenges the hate narrative by questioning the assumption of guilt based on religion and promotes empathy and understanding.",ENT1ST0001HS0074CN000064P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26,female,Bachelor
